店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,珈琲哲學　水戸店,水戸市加倉井町1952-1,https://goo.gl/maps/H5vC4EDAxtA6xth68,飲食,パスタ・ピッツァ・コーヒー・ケーキ
一般店,お肉のおいしいレストラン　夢浪漫,水戸市姫子2-767-2,https://goo.gl/maps/TZWY2wZcXdkpQF6n6,飲食,国産牛ハンバーグ・カットステーキ
一般店,とんQ水戸千波店（とんきゅう）,水戸市千波町1999-5,https://goo.gl/maps/73jJLkjPjhK9DswDA,飲食,とんかつ
一般店,好文Cafe,水戸市千波町3080,https://goo.gl/maps/L9Yy3KqweVWhXGgn7,飲食,カフェ＆レストラン
一般店,味人,水戸市白梅1-2-41 コーポ百番,https://goo.gl/maps/bR5puyLPRr8JE39t7,飲食,和食・串焼き
一般店,Cafe Cocca （カフェコッカ）,水戸市大塚町2004-58,https://g.page/cafecocca?share,飲食,ハンバーグ・パンケーキ
一般店,ビストロ　ヴィニョン,水戸市南町3-5-3石沢ビル1F,https://goo.gl/maps/rv883PshspTbwYs3A,飲食,洋食
一般店,陽菜たぼこ,水戸市笠原町1397-3,https://goo.gl/maps/5n8W5MiaFy3ev6Ab6,飲食,和食
一般店,吾妻鮨　笠原店,水戸市笠原町1229-3,https://goo.gl/maps/jsHwTYvcjptMJroH9,飲食,寿司
一般店,大衆酒場　もっさん,水戸市宮町2-1-1 細谷ビル1F,https://goo.gl/maps/UeWDq9p2KrEkfV3h9,飲食,もつ焼・もつ煮込み・牛たん焼
一般店,さくら屋,水戸市五軒町2-1-18,https://goo.gl/maps/M2KMTjguYq4paJSu9,飲食,料理
一般店,MSPO  TERRACE　BLUE × BLUE,水戸市南町3-6-8　MSPO内,https://goo.gl/maps/xbBNyTzDtdDBEZAJ6,飲食,カフェ＆バーベキュー
一般店,お好み焼　ひろうら,水戸市元山町1-2-65,https://goo.gl/maps/pFpwoy4WNdTtjUYW6,飲食,お好み焼、各種定食、弁当
一般店,梵珠庵,水戸市見和1-350-7,https://goo.gl/maps/F7saBxndfKVgFxuo9,飲食,和食・中華・芋焼・タピオカ
一般店,横綱本店,水戸市大足町1574,https://goo.gl/maps/GXFjnkgZfDYQnwK6A,飲食,鍋類各種
一般店,海鮮居酒屋あもん,水戸市泉町3-6-3,https://goo.gl/maps/iNGq1gVStoaJizko7,飲食,刺身、逸品料理、お酒
一般店,to_dining&daily goodthings,水戸市泉町2-2-44　斎藤ビル１F,https://goo.gl/maps/xw74UR2v4SvbmdNq7,飲食,ナチュラルワイン、パスタ、ランチ、生ハム
一般店,炭火焼きと鉄釜飯のお店ゑびす,水戸市笠原町1625-5,https://goo.gl/maps/DECvbvi3thNRXjre8,飲食,釜飯、うなぎ、常陸牛、シフォンケーキ
一般店,四川厨房　炎神,水戸市桜川2-1-6アイランドビル1F,https://g.page/agni_mito?share,飲食,中国料理
一般店,SOTO COFFEE,水戸市泉町3-2-26,https://g.page/sotocoffee?share,飲食,コーヒー・軽食・あまいもの
一般店,中国料理　泰山,水戸市城南2-14-22　池田ビル1F,https://goo.gl/maps/hEX2akxBvhBCx8mn6,飲食,担々麺・エビチリ・四川麻婆豆腐・各種中華料理
一般店,ぶたまる食堂　元吉田店,水戸市元吉田町1610-2　,https://goo.gl/maps/BjCU1QMFKWfKFoUg8,飲食,しょうが焼き、豚丼、トンテキ
一般店,カフェ　アルコイリス,水戸市泉町1-1-16,https://goo.gl/maps/tvhvh5nAnoqS5QGy8,飲食,常陸牛ハンバーグ、自家製スイーツ
一般店,喰処・飲処　てんまさ,水戸市宮町2-2-31　三友ビル地下１F,https://goo.gl/maps/Xy2Gacd9YGTMKo1LA,飲食,あんこう料理、納豆料理、地酒
一般店,串カツ田中　水戸駅前店,水戸市三の丸1-1-11,https://goo.gl/maps/51ReErZ6gmeYS1qD7,飲食,串カツ
一般店,カレーハウスCoCo壱番屋　フレスポ赤塚店,水戸市河和田1-1,https://goo.gl/maps/QfQtKRARn757t6BR7,飲食,カレー専門店
一般店,一心,水戸市上水戸1-7-28,https://goo.gl/maps/Z3UtMsBwtXvjLtmr5,飲食,鮮魚・鮨・割烹
一般店,囲炉裏焼と蕎麦の店　うえ田,水戸市千波町1147,https://goo.gl/maps/S4QaN5qdjK8aJW4t7,飲食,原始焼・蕎麦・日本酒
一般店,THE SANDWICH&COFFEE SHOP,水戸市備前町5-30,https://goo.gl/maps/Qkh5JRSJTuGcuro87,飲食,コーヒー類・サンドイッチ等
一般店,旨安酒場　うっとら,水戸市宮町2-5-38,https://goo.gl/maps/LYppvD1BQd7yc8LM9,飲食,お酒に合うおつまみ多数・飲み放題・コース料理もお得
一般店,ベトナム料理　アオババ,水戸市南町1-3-40,https://goo.gl/maps/heCNyqX63x9LJGbHA,飲食,生春巻き・フォー・ブンチャー
一般店,焼き鳥ダイニング漣,水戸市城南1-6-4城南マンション1F,https://goo.gl/maps/ezEGzCGuksSNCHws8,飲食,焼鳥
一般店,令和納豆,水戸市梅香1-2-5　アーバンビジネスホテル２階,https://goo.gl/maps/dBpnKJBmmppifPst9,飲食,納豆ごはんセット
一般店,喜八楽八　笠原店,水戸市笠原町600-17,https://goo.gl/maps/BDNUMJ7c2o2iw5jL9,飲食,居酒屋
一般店,カレーハウスCoCo壱番屋　水戸駅南口店,水戸市宮町1-7-44　COMBOX310 3F,https://goo.gl/maps/FzmTzk6BCiV3117u6,飲食,カレー
一般店,カレーハウスCoCo壱番屋　水戸南インター店,水戸市けやき台3-18,https://goo.gl/maps/rsp5mq9Bot2B81bk7,飲食,カレー
大型店,Café・dé・Remi,水戸市宮町1-7-33　水戸サウスタワー8F,https://goo.gl/maps/PveFNrHwYZQEVbux7,飲食,ローストビーフ、自家製ハンバーグプレート、キッズドリンクバー
一般店,リストランテ　勘十郎,水戸市元吉田町1042-12,https://goo.gl/maps/QnLWr4peYdYRxrH2A,飲食,コース・パスタ・ピザ・お肉料理・お魚料理
一般店,居酒屋　西濃,水戸市末広町3-2-11,https://goo.gl/maps/QUvF12Adqx3RwWVP7,飲食,居酒屋
一般店,寿司ダイニング　福円（ふくまる）,水戸市笠原町1523-3,https://goo.gl/maps/ScVedv9ANCsXMF459,飲食,"ランチにぎり1,000円（茶碗蒸・サラダ・コーヒー付）、その他メニューあり"
一般店,揚げたて屋てん　河和田店,水戸市河和田町4379-43,https://goo.gl/maps/CtwrxYcE42jCqCQdA,飲食,天プラ定食、丼物
一般店,格子屋　赤塚店,水戸市赤塚1-1975-2,https://goo.gl/maps/9zFmE4JvToMgDztg9,飲食,海鮮居酒屋
一般店,㈱フライングガーデン　県庁さくら通り店,水戸市米沢町345-1,https://goo.gl/maps/CzN5brXRFBSKmnCU6,飲食,ハンバーグ
一般店,う女川,水戸市島田町4151-2,https://goo.gl/maps/wReuZj7ZqJXpjaNi9,飲食,うなぎ
一般店,大和屋,水戸市笠原町978-35,https://goo.gl/maps/AwtBzJ8KJiZuKU9AA,飲食,日本そば、うどん、丼物
一般店,茶cafe leaf garden,水戸市見和2-241-1,https://g.page/leafgarden?share,飲食,ランチプレート、日本茶、抹茶ラテ
一般店,洋食 山口楼　庵,水戸市大工町1-4-17,https://goo.gl/maps/pDGeMp9AeHqaoJEu6,飲食,洋食
大型店,紅虎餃子房,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/d87obRPmXXURr3er5,飲食,レストラン
一般店,美味　藤,水戸市栄町1-8-5　さわやか第２ビル,https://goo.gl/maps/ane7c8XHkdvq3TWf7,飲食,料理、酒類
一般店,蒲焼・割烹　ぬりや,水戸市泉町3-5-9,https://goo.gl/maps/tLckNLBDJPBBFEbGA,飲食,うなぎ・かば焼き、うな弁
一般店,キッチン寅家,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/SMSqbV6sW2sRtadk8,飲食,洋食
一般店,有賀ドライブイン,水戸市有賀町898-5,https://goo.gl/maps/tndFNbq4C18UkDGV7,飲食,定食・ラーメン類
一般店,たらいうどん椛や,水戸市有賀町1021-1,https://g.page/taraiudonmomijiya?share,飲食,うどん店
一般店,うなぎ斎藤,水戸市大足町1050-1,https://goo.gl/maps/XB6Pq6HdikeXoVVh6,飲食,うな重
一般店,シュナ・カフェ,水戸市小吹町2504-1,https://goo.gl/maps/66R8J5zzGB6hNPoY6,飲食,ドリンク、軽食、ランチ
一般店,和の料理　ふじ,水戸市元吉田町1563,https://g.page/wanoryourifuji?share,飲食,和食料理
一般店,海鮮厨房　天天,水戸市泉町3-1-28　中央ビルB１,https://goo.gl/maps/wqqXVmXnk3nnnFys5,飲食,中華料理
一般店,くずし和食高山,水戸市大工町1-3-2　みと楽横丁内１階,https://goo.gl/maps/r7scSnPzMyJJLFcE6,飲食,常陸牛炙り握り寿司、天使のエビマヨ、オイスター海鮮焼き等
一般店,リストランテ YOSHIMI,水戸市酒門町1197-5,https://goo.gl/maps/qFjhyYWhDzfkvSRQ6,飲食,レストラン
一般店,カフェリン,水戸市泉町2-2-37,https://g.page/caferin_?share,飲食,"ランチセット、ケーキセット、チーズケーキ、コーヒー、紅茶
"
一般店,Bar MILLWOOD（バー・ミルウッド）,水戸市南町2-4-37　マサヤビル２F,https://goo.gl/maps/KEwu8GeNPkoBcEGw8,飲食,旬のフレッシュフルーツカクテル・シングルモルトウイスキー・手作りピザ
一般店,ロカディアブロ,水戸市桜川1-7-13,https://g.page/loca-diablo?share,飲食,イタリア料理バル
一般店,大工町たこ焼きオクトパス,水戸市大工町1-3-2　川上ビル1Ｆ,https://goo.gl/maps/71XuzQCBjGTSx6758,飲食,たこ焼・お好み焼・鉄板焼
一般店,みと楽横丁ハイから屋,水戸市大工町1-3-2　川上ビル1Ｆ　,https://goo.gl/maps/71XuzQCBjGTSx6758,飲食,からあげセット・串揚げ各種
一般店,Ｌｉｖｅ　Ｍｕｓｉｃ　Ｐｕｂ　ＰＡＰＥＲ　ＭＯＯＮ,水戸市南町1-4-18　松屋ビル3Ｆ,https://goo.gl/maps/G1yX1CsudTwg5ePbA,飲食,飲食他
一般店,鮨処　菊之助,水戸市大工町1-3-17,https://goo.gl/maps/XP531VBzGGvabgeH8,飲食,鮨店
一般店,お好み焼き　きよ太郎,水戸市泉町3-3-4,https://goo.gl/maps/tqBxFPkYsK4zfaRS7,飲食,お好み焼き・焼きそば
一般店,常陸の國　もんどころ水戸駅南店,水戸市城南1-3-2,https://goo.gl/maps/KR5JezTcXN2RS3U28,飲食,飲食
一般店,Private　Dining　益益　水戸内原店,水戸市内原1-220,https://g.page/masumasu-mitouchihara?share,飲食,飲食
一般店,隠れ菴　忍家　水戸駅南本店,水戸市桜川1-3-20　小端ビル１F,https://g.page/shinobuya-mitoekiminamihonten?share,飲食,飲食
一般店,常陸の國　もんどころ　水戸サウスタワー店,水戸市宮町1-7-33　水戸サウスタワー11F,https://goo.gl/maps/fdiguDmRVyNsHhN79,飲食,飲食
一般店,Go!!飯屋　はんぐりー,水戸市笠原町1235-16,https://goo.gl/maps/MiK4ePu9TSQjmt8R9,飲食,お弁当箱でボリューム満点のランチを提供（600円～）・弁当
一般店,レストラン　マロン,水戸市五軒町3-1-18,https://g.page/restaurant-maroon?share,飲食,洋食
一般店,まちなか通いの場×地域食堂　梵’ｓ,水戸市泉町2-1-39,https://goo.gl/maps/eTe26d9cC4y8BLH59,飲食,かき氷、オムライス、ハンバーグ、フレンチトースト
一般店,味の店かくた,水戸市西原2-17-3,https://goo.gl/maps/JsHw3nHss3UWNCyW9,飲食,定食、丼物、納豆料理
一般店,開化亭,水戸市泉町3-3-18,https://goo.gl/maps/fERRr91QY9BFGKht8,飲食,常陸牛を使った牛鍋
一般店,体にやさしい西洋料理　Restaurant Aoyama,水戸市姫子2-30　赤塚駅南口　ヨークタウン内ダイソー隣,https://g.page/restaurantaoyama?share,飲食,西洋料理
大型店,焼肉秀門　水戸オーパ店,水戸市宮町1-7-33　水戸サウスタワー９F ,https://goo.gl/maps/ZXyKPy9gWvTvuySm7,飲食,宮崎牛　焼肉
一般店,めん屋大黒　笠原店,水戸市笠原町1443-2,https://goo.gl/maps/926omYSjvsSZBNFu9,飲食,ラーメン、定食
一般店,めん屋大黒　姫子店,水戸市姫子1-810-18,https://goo.gl/maps/7sGhLwfS5eybf1LJ9,飲食,ラーメン、定食
一般店,大衆酒場　鳥らんど,水戸市宮町2-5-6,https://g.page/tori-land-miyashitaginza?share,飲食,居酒屋
一般店,食酒　アキヅ,水戸市南町2-1-50,https://goo.gl/maps/C3DXqBgwXHeZvNLX9,飲食,イタリア料理、ワイン
一般店,和 dining 加護や,水戸市米沢町283-2,https://goo.gl/maps/Jx7AG2o6RXJhCsqs6,飲食,"和食
"
一般店,沖縄料理　かなでち,水戸市南町2-4-35,https://goo.gl/maps/YMU2Yw9VY15Ut65A6,飲食,沖縄料理
一般店,四川厨房　美,水戸市酒門町3298-8,https://goo.gl/maps/E6iyqbELmFGtEZeh8,飲食,中華料理
一般店,中華ダイニング笑,水戸市平須町1828-59,https://goo.gl/maps/CcQqbvQyEupbZroPA,飲食,中華料理（鶏肉の黒酢炒め、サンラータンメン等）
一般店,ステーキハウス　アメリカ屋,水戸市米沢町304-5,https://goo.gl/maps/HDiyrRLmRRFLLCo27,飲食,ステーキ、ハンバーグ、ソーセージ、サラダバー
一般店,米夢にぎりた亭,水戸市泉町3-7-30　ラ・フォンテーヌ１Ｆ,https://goo.gl/maps/DDK9fsnWmrBmejsB8,飲食,おにぎり・唐揚げ・弁当・ソフトクリーム他
一般店,梅の花　水戸店,水戸市笠原町1971-1,https://goo.gl/maps/iAGYgzKT7c2j7kXt9,飲食,和食
大型店,𠮷野屋,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/63jECqSDCSnoE76Q6,飲食,牛丼
一般店,ココス水戸内原店,水戸市中原町字束484-1,https://goo.gl/maps/sG6G8RuzB18zw7nV9,飲食,ファミリーレストラン
一般店,ココス平須店,水戸市平須町1820-228,https://goo.gl/maps/bLFympMRL51VE2hv8,飲食,ファミリーレストラン
一般店,ココス水戸千波店,水戸市千波町1881-1,https://goo.gl/maps/2TeHELMZZFPUYJwE9,飲食,ファミリーレストラン
一般店,ココス水戸見川店,水戸市見川2-3063-1,https://goo.gl/maps/VskHo7Z1QRtctrht5,飲食,ファミリーレストラン
一般店,ココス水戸城南店,水戸市城南3-7-1,https://goo.gl/maps/iTYrqBtBMrNiUrNg8,飲食,ファミリーレストラン
一般店,ココス水戸茨大前店,水戸市堀町1012-3,https://goo.gl/maps/kJxKn2asw2xpp2zh7,飲食,ファミリーレストラン
一般店,ココス水戸東野店,水戸市東野町263-4,https://goo.gl/maps/VVRka3pzizxbsLj47,飲食,ファミリーレストラン
一般店,プロカフェ,水戸市三の丸1-4-2,https://goo.gl/maps/61adUca8abCCuMP7A,飲食,"カフェ・軽食・コーヒー豆販売
"
